Gene_type,Gene_name,dNdS,Statistical_Significance,Background_Foreground
Rod,CNGA1,1.236421097,Yes,Background
Rod,CNGA1,1.538584799,Yes,Foreground
Rod,CNGA2,1.361053777,No,Background
Rod,CNGA2,1.355321643,No,Foreground
Rod,CNGA4,1.309058353,Yes,Background
Rod,CNGA4,1.088380047,Yes,Foreground
Cone,CNGA7,1.78007679,No,Background
Cone,CNGA7,1.348148298,No,Foreground
Cone,CNGA8,1.449988788,Yes,Background
Cone,CNGA8,1.992128022,Yes,Foreground
Cone,CNGA12,1.854940344,Yes,Background
Cone,CNGA12,1.112055228,Yes,Foreground
Cone,CNGA19,1.439708604,No,Background
Cone,CNGA19,1.983865047,No,Foreground
Both,CNGA20,1.597039604,Yes,Background
Both,CNGA20,1.692940831,Yes,Foreground
Both,CNGA11,1.810718546,No,Background
Both,CNGA11,1.417696294,No,Foreground