Hum_Ctl,,Bov_Ctl,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.01666666754,-0.04447770119,0.08166667074,-0.01083135605,
0.2666666806,-0.02145862579,0.3325625062,-0.03335523605,
0.5166666508,-0.02858996391,0.5833958387,-0.01941251755,
0.7666666508,-0.02535414696,0.8317916989,-0.04316616058,
1.016666651,-0.0465092659,1.082624912,-0.03115129471,
1.266666651,-0.05390095711,1.331812501,0.00788974762,
1.516666651,-0.01955986023,1.582624912,0.02494716644,
1.766666651,-0.003030538559,1.833458304,-0.04421615601,
2.016666651,-0.01493930817,2.082624912,-0.04353713989,
2.266666651,-0.008245706558,2.331791639,-0.005321502686,
2.516666651,-0.01942372322,2.581791639,-0.01959705353,
2.766666651,-0.03548240662,2.832645893,-0.006678104401,
3.016666651,-0.03805494308,3.082625151,-0.02788257599,
3.266666651,-0.001815795898,3.332625151,0.0003213882446,
3.516666651,-0.007693529129,3.58181262,0.001710891724,
3.766666651,-0.003313302994,3.83181262,-0.006154537201,
4.016666889,0.00448012352,4.083458424,-0.01779651642,
4.266666889,0.02642846107,4.332624912,-0.04017829895,
4.516666889,0.02304053307,4.581812382,-0.03033733368,
4.766666889,-0.001463890076,4.832624912,-0.02328205109,
5.016666889,0.002877473831,5.081812382,0.0006241798401,
6.080958366,0.5351853371,6.145958424,0.318259716,
6.330958366,0.7565236092,6.397625446,0.4751014709,
6.580958366,0.9062376022,6.648458481,0.6305112839,
6.830958366,1.067496777,6.896812439,0.7216739655,
7.080958366,1.15653801,7.145958424,0.8234429359,
7.330958366,1.313703537,7.396812439,0.9430847168,
7.580958366,1.384901047,7.647625446,0.9671545029,
7.830958366,1.519321918,7.898478985,1.081584454,
8.080958366,1.602823257,8.146812439,1.148705482,
8.330958366,1.662115574,8.395978928,1.251761436,
8.580958366,1.748818398,8.646813393,1.275210381,
8.830958366,1.891665936,8.8959589,1.42400074,
9.080958366,1.956325054,9.146813393,1.464832306,
9.330958366,2.056086063,9.396813393,1.515964508,
9.580958366,2.133232594,9.645978928,1.58176136,
9.830958366,2.206370354,9.896813393,1.62887001,
10.08095837,2.291950226,10.14597893,1.730544567,
10.33095837,2.389435768,10.39681339,1.76820755,
10.58095837,2.451298714,10.64681339,1.814896584,
10.83095837,2.517974377,10.89597893,1.917271137,
11.08095837,2.65199852,11.14847946,1.966804028,
11.33095837,2.69165802,11.39681339,2.034295082,
11.58095837,2.792048931,11.64597893,2.048737049,
11.83095837,2.877616882,11.89597893,2.114636421,
12.08095837,2.925979614,12.14681339,2.183849335,
12.33095837,3.008832932,12.39764595,2.273761749,
12.58095837,3.062169552,12.64597893,2.319236279,
12.83095837,3.137663364,12.89681339,2.378565788,
13.08095837,3.183407307,13.14764595,2.398589611,
13.33095837,3.313727856,13.39597893,2.508356094,
13.58095837,3.357297897,13.64681339,2.55696106,
13.83095837,3.395112991,13.89764595,2.612087727,
14.08095837,3.414487362,14.14597893,2.676104546,
14.33095837,3.534912586,14.39681339,2.737582684,
14.58095837,3.57952261,14.64764595,2.785842896,
14.83095837,3.637151718,14.89849949,2.818507195,
15.08095837,3.703146935,15.14516735,2.874383926,
15.33095837,3.75062418,15.39599991,2.921348095,
15.58095837,3.826276779,15.64683342,3.070321083,
15.83095837,3.916882038,15.89599991,3.055740356,
16.08095741,3.929645061,16.14599991,3.10830307,
16.33095741,4.023766994,16.39683342,3.198679447,
16.58095741,4.083370209,16.64766693,3.218343735,
16.83095741,4.13537693,16.89599991,3.244309902,
17.08095932,4.20624876,17.14683342,3.320959568,
17.33095932,4.219768047,17.39603996,3.362458706,
17.58095932,4.294019699,17.64687538,3.437224388,
17.83095932,4.356446266,17.89603996,3.459445,
18.08095932,4.409544945,18.14603996,3.523462296,
18.33095932,4.458629608,18.39687538,3.570693493,
18.58095932,4.500357628,18.64770889,3.689722538,
18.83095932,4.536791801,18.89603996,3.686046124,
19.08095932,4.555980682,19.14687538,3.69999361,
19.33095932,4.666059494,19.39520836,3.775007725,
19.58095932,4.736106873,19.64603996,3.82561636,
19.83095932,4.75643158,19.89856148,3.868436337,
20.08095932,4.794931412,20.14689445,3.936376095,
20.33095932,4.830442429,20.39606285,3.94857645,
20.58095932,4.874164581,20.64606285,3.984005451,
20.83095932,4.933552742,20.89689445,4.080375195,
21.08095932,4.990474701,21.14614677,4.082997799,
21.33095932,5.044881821,21.39614677,4.12399435,
21.58095932,5.016138077,21.6469593,4.206617832,
21.83095932,5.07101059,21.89612389,4.228254795,
22.08095932,5.199899673,22.1469593,4.330996037,
22.33095932,5.170483589,22.39697838,4.324395657,
22.58095932,5.215368271,22.6469593,4.386825085,
22.83095932,5.265089989,22.8978138,4.365746975,
23.08095932,5.296964645,23.1469593,4.516599178,
23.33095932,5.367602348,23.3969593,4.480418682,
23.58095932,5.390460014,23.64612389,4.54723978,
23.83095932,5.421385765,23.89612389,4.614511013,
24.08095932,5.462822914,24.14612389,4.615554333,
24.33095932,5.521883965,24.39697838,4.627133846,
24.58095932,5.546682358,24.6469593,4.671501637,
24.83095932,5.568618774,24.89697838,4.795224667,
25.08095932,5.584942818,25.1478138,4.817652225,
25.33095932,5.61030674,25.3969593,4.790431499,
25.58095932,5.658762932,25.64612389,4.836405277,
25.83095932,5.730770111,25.8978138,4.915168285,
26.08095932,5.777334213,26.1469593,4.951915264,
26.33095932,5.759807587,26.39612389,4.992698193,
26.58095932,5.838468552,26.64697838,5.040500164,
26.83095932,5.850161552,26.8969593,5.034260273,
27.08095932,5.892780304,27.14612389,5.090106487,
27.33095932,5.934836388,27.3969593,5.138678074,
27.58095932,5.936122894,27.64614677,5.129756451,
27.83095932,5.953794479,27.8969593,5.175086498,
28.08095932,6.021084785,28.14531326,5.2095294,
28.33095932,5.975479126,28.39614677,5.286608219,
28.58095932,6.080732346,28.6469593,5.244430065,
28.83095932,6.095413208,28.89531326,5.333565235,
29.08095932,6.115574837,29.14614677,5.333898067,
29.33095932,6.131939888,29.3969593,5.363583088,
29.58095932,6.154196739,29.64531326,5.42450285,
29.83095932,6.203040123,29.89614677,5.469553471,
30.08095932,6.200906754,30.14697838,5.422144413,
30.33095932,6.23319149,30.39614677,5.534058094,
30.58095932,6.288890839,30.64631271,5.569344044,
30.83095932,6.308606148,30.8954792,5.548157215,
31.08095932,6.32352066,31.14631271,5.607382298,
31.33095932,6.372969627,31.39631271,5.629285336,
31.58095932,6.380438805,31.64714622,5.656507015,
31.83095932,6.396191597,31.8954792,5.710938931,
32.08095932,6.440265656,32.14631271,5.67420435,
32.33095932,6.488372803,32.39714432,5.694970608,
32.58095932,6.431735039,32.64631271,5.755200863,
32.83095932,6.497724533,32.89714432,5.803221226,
33.08095932,6.491873741,33.14548111,5.766543865,
33.33095932,6.540813446,33.39631271,5.823079586,
33.58095932,6.503052711,33.64881134,5.8437047,
33.83095932,6.52007103,33.89548111,5.890541553,
34.08095932,6.660965919,34.14631271,5.906494617,
34.33095551,6.592942238,34.39631271,5.924539089,
34.58095551,6.610601425,34.64714813,6.001143932,
34.83095551,6.586309433,34.89797592,5.981298923,
35.08095551,6.652322769,35.14631271,5.929214001,
35.33095551,6.653809547,35.39716721,5.975064754,
35.58095551,6.724809647,35.64799881,6.02916193,
35.83095551,6.719760895,35.8963356,6.046401501,
36.08095551,6.752432823,36.14716721,6.06020689,
36.33095551,6.762058258,36.39550018,6.060529232,
36.58095551,6.807796478,36.6463356,6.106668949,
36.83095551,6.828839302,36.89883041,6.085812092,
37.08095551,6.836684227,37.14550018,6.132063389,
37.33095551,6.867324829,37.3963356,6.123474598,
37.58095551,6.836050987,37.64716721,6.206031322,
37.83095551,6.927826881,37.89554214,6.195012569,
38.08095551,6.948254585,38.14637375,6.180095196,
38.33095551,6.915328026,38.39554214,6.226583958,
38.58095551,6.953101158,38.64637375,6.255230427,
38.83095551,7.031667709,38.89637375,6.268746853,
39.08095551,6.924738884,39.14554214,6.314046383,
39.33095551,7.033934593,39.39637375,6.287283421,
39.58095551,7.03758812,39.64887619,6.270056248,
39.83095551,7.040250778,39.89554214,6.315270901,
40.08095551,7.078551292,40.14637375,6.363812923,
40.33095551,7.077330589,40.39720917,6.385394573,
40.58095551,7.07701683,40.64806366,6.360574245,
40.83095551,7.066737175,40.89639664,6.344450474,
41.08095551,7.121206284,41.14722824,6.415846348,
41.33095551,7.107919693,41.39556122,6.455926418,
41.58095551,7.09565258,41.64639664,6.422333241,
41.83095551,7.122859001,41.89731598,6.451074123,
42.08095551,7.099822998,42.14562607,6.494476795,
42.33095551,7.135406494,42.39646149,6.461721897,
42.58095551,7.147939682,42.64731598,6.51224184,
42.83095551,7.133716583,42.89646149,6.48581171,
43.08095551,7.145216942,43.14646149,6.507747173,
43.33095551,7.192674637,43.39731598,6.537024021,
43.58095551,7.193778992,43.64896011,6.565389156,
43.83095551,7.189098358,43.89896011,6.527677059,
44.08095551,7.20291996,44.14646149,6.631975651,
44.33095551,7.219410896,44.39646149,6.555033207,
44.58095551,7.156145096,44.64562607,6.616548061,
44.83095551,7.209965706,44.89728928,6.622094631,
45.08095551,7.194514275,45.14648056,6.645858288,
45.33095551,7.22116375,45.39737701,6.702466488,
45.58095551,7.204025269,45.64646149,6.663276196,
45.83095551,7.174647331,45.89562607,6.615464687,
46.08095551,7.220471382,46.14648056,6.693665981,
46.33095551,7.208595276,46.39812469,6.686076641,
46.58095551,7.187231064,46.64896011,6.725567341,
46.83095551,7.207263947,46.89812469,6.641919613,
47.08095551,7.23157692,47.14646149,6.661504269,
47.33095551,7.202880859,47.39812469,6.770112514,
47.58095551,7.251141548,47.64646149,6.680757999,
47.83095551,7.168854713,47.89564514,6.776296139,
48.08095551,7.283602715,48.14646149,6.758960247,
48.33095551,7.230389595,48.39562607,6.749801159,
48.58095551,7.225671768,48.64646149,6.800223827,
48.83095551,7.252793312,48.89731598,6.807571888,
49.08095551,7.244896889,49.14812469,6.786164761,
49.33095551,7.219320297,49.39646149,6.804056644,
49.58095551,7.207344055,49.64564514,6.805078983,
49.83095551,7.19857502,49.89646149,6.795349598,
50.08095551,7.220053673,50.14728928,6.82872057,
50.33095551,7.177719116,50.39812469,6.80717802,
50.58095551,7.186098099,50.64646149,6.941956997,
50.83095551,7.251247406,50.89731598,6.801000118,
51.08095551,7.217470169,51.14564514,6.854652882,
51.33095551,7.220560074,51.39648056,6.900664806,
51.58095551,7.157170296,51.64897919,6.836308956,
51.83095551,7.226096153,51.89564514,6.869385242,
52.08095551,7.165096283,52.14648056,6.882153988,
52.33095551,7.202939987,52.39897919,6.87458849,
52.58095551,7.19753933,52.64564514,6.903110981,
52.83095551,7.205542564,52.89648056,6.876017094,
53.08095551,7.251330376,53.14648056,6.926910877,
53.33095551,7.151204109,53.39564514,6.900222301,
53.58095551,7.230546951,53.64648056,6.928263187,
53.83095551,7.231993675,53.89897919,6.893212795,
54.08095551,7.128146172,54.14564514,6.909095287,
54.33095551,7.159700394,54.39648056,6.925666332,
54.58095551,7.201506615,54.64564514,6.938717365,
54.83095551,7.140980721,54.89648056,7.003174305,
55.08095551,7.181339264,55.14648056,6.978647709,
55.33095551,7.194959641,55.39564514,6.987177372,
55.58095551,7.191289902,55.64814377,6.933604717,
55.83095551,7.171671867,55.89649963,6.95321703,
56.08095551,7.275346756,56.14566803,6.986654758,
56.33095551,7.211052895,56.39649963,6.979485035,
56.58095551,7.250693321,56.64899826,7.035054684,
56.83095551,7.238547325,56.89566803,6.936691761,
57.08095551,7.17893219,57.14649963,7.000870228,
57.33095551,7.2398386,57.39566803,7.030343533,
57.58095551,7.237729073,57.64566803,7.032064915,
57.83095551,7.186371803,57.89649963,7.061155796,
58.08095551,7.166349411,58.14566803,7.035133839,
58.33095551,7.178202629,58.39566803,7.022832394,
58.58095551,7.179213524,58.64649963,7.02589941,
58.83095551,7.207250595,58.89566803,7.037527561,
59.08095551,7.226438522,59.14820862,7.054537296,
59.33095551,7.203288078,59.3965416,7.038545132,
59.58095551,7.162439346,59.64570618,7.025236607,
59.83095551,7.164224625,59.89570618,6.974343777,
60.08095551,7.208828926,60.1465416,7.018449306,
60.33095551,7.178247452,60.39904022,7.015001774,
60.58095551,7.223733902,60.64570618,7.029955387,
60.83095551,7.17412281,60.8965416,6.931582928,
61.08095551,7.162031174,61.1465416,7.002996922,
61.33095551,7.172038078,61.39570618,7.034415722,
61.58095551,7.208189964,61.6465416,6.981706142,
61.83095551,7.148220062,61.8965416,7.024087429,
62.08095551,7.120025635,62.14570618,6.9904809,
62.33095551,7.097561836,62.39656067,7.039648533,
62.58095551,7.19251442,62.64572906,7.01894331,
62.83095551,7.13588047,62.89572906,7.017692089,
63.08095551,7.128866196,63.14656067,6.961415768,
63.33095551,7.181446075,63.39906311,7.007524967,
63.58095551,7.125338554,63.64572906,6.958279133,
63.83095551,7.112995148,63.89656067,6.945092678,
64.08095551,7.112338066,64.14572906,6.930648327,
64.33095551,7.08279705,64.39662933,6.919681072,
64.58095551,7.160520554,64.6457901,6.951570988,
64.83095551,7.082433701,64.89764404,6.956804752,
65.08095551,7.113815308,65.14762115,7.006277561,
65.33095551,7.074716568,65.39762115,6.937173367,
65.58095551,7.049819946,65.64929199,6.954866886,
65.83095551,7.141677856,65.89931488,6.996850491,
66.08095551,7.018651009,66.14929199,6.948106289,
66.33095551,7.101348877,66.39764404,6.944108486,
66.58095551,7.04020977,66.64679718,6.919091702,
66.83095551,7.024149895,66.89595795,6.926441669,
67.08095551,7.049365044,67.14598083,6.928720951,
67.33095551,7.05873394,67.39681244,6.904018879,
67.58095551,7.078656197,67.64598083,6.904995441,
67.83095551,7.011964798,67.89762115,6.969973087,
68.08095551,6.982745171,68.14679718,6.932010174,
68.33095551,7.09829998,68.39598083,6.902260303,
68.58095551,7.05539608,68.64679718,6.955262661,
68.83095551,7.034338951,68.89598083,6.993850231,
69.08095551,7.007173538,69.14679718,6.921419621,
69.33095551,6.990561485,69.39598083,6.918097973,
69.58095551,6.998987198,69.64679718,6.909048557,
69.83095551,6.978234291,69.89598083,6.917765141,
70.08095551,6.996081352,70.14679718,6.944414616,
70.33095551,6.970220566,70.39847565,6.926204205,
70.58095551,7.008691788,70.64765167,6.871425152,
70.83095551,6.976994514,70.89679718,6.909556866,
71.08095551,6.997998238,71.14598083,6.928302288,
71.33095551,7.013951302,71.39679718,6.924228191,
71.58095551,6.979901314,71.64762115,6.934465885,
71.83095551,6.972429276,71.89847565,6.875825405,
71.89847565,6.875825405,,,

